Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,
MDG,1979-01-01,1979-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",1979,1979,USD,54.2095267654,X
MDG,1980-01-01,1980-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",1980,1980,USD,62.7593665518,X
MDG,1981-01-01,1981-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",1981,1981,USD,61.0967558812,X
MDG,1982-01-01,1982-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",1982,1982,USD,61.0462667471,X
MDG,1983-01-01,1983-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",1983,1983,USD,60.3145170608,X
MDG,1984-01-01,1984-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",1984,1984,USD,49.6340923924,X
MDG,1985-01-01,1985-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",1985,1985,USD,48.4587949163,X
MDG,1986-01-01,1986-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",1986,1986,USD,66.0421627856,X
MDG,1987-01-01,1987-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",1987,1987,USD,51.3973908192,X
MDG,1988-01-01,1988-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",1988,1988,USD,47.3195183027,X
MDG,1989-01-01,1989-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",1989,1989,USD,46.4979093851,X
MDG,1990-01-01,1990-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",1990,1990,USD,55.5879815844,X
MDG,1991-01-01,1991-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",1991,1991,USD,51.5005139326,X
MDG,1992-01-01,1992-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",1992,1992,USD,57.0420264398,X
MDG,1993-01-01,1993-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",1993,1993,USD,62.2693764674,X
MDG,1994-01-01,1994-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",1994,1994,USD,55.0341159231,X
MDG,1995-01-01,1995-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",1995,1995,USD,57.4311592069,X
MDG,1996-01-01,1996-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",1996,1996,USD,71.0820929974,X
MDG,1997-01-01,1997-12-31,129,'450,Madagascar,22024,GDP Deflator,6179,"Value US$, 2015 prices",1997,1997,USD,60.8418946642,X
